archive,date,count,date_dec
arXiv q-bio,2007-01-01,40,2007
Nature Precedings,2007-01-01,3,2007
F1000Research,2007-01-01,0,2007
PeerJ Preprints,2007-01-01,0,2007
bioRxiv,2007-01-01,0,2007
Winnower,2007-01-01,0,2007
preprints.org,2007-01-01,0,2007
Wellcome Open Research,2007-01-01,0,2007
arXiv q-bio,2007-02-01,44,2007.0849315068492
Nature Precedings,2007-02-01,0,2007.0849315068492
F1000Research,2007-02-01,0,2007.0849315068492
PeerJ Preprints,2007-02-01,0,2007.0849315068492
bioRxiv,2007-02-01,0,2007.0849315068492
Winnower,2007-02-01,0,2007.0849315068492
preprints.org,2007-02-01,0,2007.0849315068492
Wellcome Open Research,2007-02-01,0,2007.0849315068492
arXiv q-bio,2007-03-01,55,2007.1616438356164
Nature Precedings,2007-03-01,0,2007.1616438356164
F1000Research,2007-03-01,0,2007.1616438356164
PeerJ Preprints,2007-03-01,0,2007.1616438356164
bioRxiv,2007-03-01,0,2007.1616438356164
Winnower,2007-03-01,0,2007.1616438356164
preprints.org,2007-03-01,0,2007.1616438356164
Wellcome Open Research,2007-03-01,0,2007.1616438356164
arXiv q-bio,2007-04-01,41,2007.2465753424658
Nature Precedings,2007-04-01,0,2007.2465753424658
F1000Research,2007-04-01,0,2007.2465753424658
PeerJ Preprints,2007-04-01,0,2007.2465753424658
bioRxiv,2007-04-01,0,2007.2465753424658
Winnower,2007-04-01,0,2007.2465753424658
preprints.org,2007-04-01,0,2007.2465753424658
Wellcome Open Research,2007-04-01,0,2007.2465753424658
arXiv q-bio,2007-05-01,59,2007.3287671232877
Nature Precedings,2007-05-01,0,2007.3287671232877
F1000Research,2007-05-01,0,2007.3287671232877
PeerJ Preprints,2007-05-01,0,2007.3287671232877
bioRxiv,2007-05-01,0,2007.3287671232877
Winnower,2007-05-01,0,2007.3287671232877
preprints.org,2007-05-01,0,2007.3287671232877
Wellcome Open Research,2007-05-01,0,2007.3287671232877
arXiv q-bio,2007-06-01,68,2007.4136986301369
Nature Precedings,2007-06-01,22,2007.4136986301369
F1000Research,2007-06-01,0,2007.4136986301369
PeerJ Preprints,2007-06-01,0,2007.4136986301369
bioRxiv,2007-06-01,0,2007.4136986301369
Winnower,2007-06-01,0,2007.4136986301369
preprints.org,2007-06-01,0,2007.4136986301369
Wellcome Open Research,2007-06-01,0,2007.4136986301369
arXiv q-bio,2007-07-01,65,2007.495890410959
Nature Precedings,2007-07-01,18,2007.495890410959
F1000Research,2007-07-01,0,2007.495890410959
PeerJ Preprints,2007-07-01,0,2007.495890410959
bioRxiv,2007-07-01,0,2007.495890410959
Winnower,2007-07-01,0,2007.495890410959
preprints.org,2007-07-01,0,2007.495890410959
Wellcome Open Research,2007-07-01,0,2007.495890410959
arXiv q-bio,2007-08-01,72,2007.5808219178082
Nature Precedings,2007-08-01,29,2007.5808219178082
F1000Research,2007-08-01,0,2007.5808219178082
PeerJ Preprints,2007-08-01,0,2007.5808219178082
bioRxiv,2007-08-01,0,2007.5808219178082
Winnower,2007-08-01,0,2007.5808219178082
preprints.org,2007-08-01,0,2007.5808219178082
Wellcome Open Research,2007-08-01,0,2007.5808219178082
arXiv q-bio,2007-09-01,62,2007.6657534246576
Nature Precedings,2007-09-01,30,2007.6657534246576
F1000Research,2007-09-01,0,2007.6657534246576
PeerJ Preprints,2007-09-01,0,2007.6657534246576
bioRxiv,2007-09-01,0,2007.6657534246576
Winnower,2007-09-01,0,2007.6657534246576
preprints.org,2007-09-01,0,2007.6657534246576
Wellcome Open Research,2007-09-01,0,2007.6657534246576
arXiv q-bio,2007-10-01,65,2007.7479452054795
Nature Precedings,2007-10-01,36,2007.7479452054795
F1000Research,2007-10-01,0,2007.7479452054795
PeerJ Preprints,2007-10-01,0,2007.7479452054795
bioRxiv,2007-10-01,0,2007.7479452054795
Winnower,2007-10-01,0,2007.7479452054795
preprints.org,2007-10-01,0,2007.7479452054795
Wellcome Open Research,2007-10-01,0,2007.7479452054795
arXiv q-bio,2007-11-01,73,2007.8328767123287
Nature Precedings,2007-11-01,31,2007.8328767123287
F1000Research,2007-11-01,0,2007.8328767123287
PeerJ Preprints,2007-11-01,0,2007.8328767123287
bioRxiv,2007-11-01,0,2007.8328767123287
Winnower,2007-11-01,0,2007.8328767123287
preprints.org,2007-11-01,0,2007.8328767123287
Wellcome Open Research,2007-11-01,0,2007.8328767123287
arXiv q-bio,2007-12-01,67,2007.9150684931508
Nature Precedings,2007-12-01,31,2007.9150684931508
F1000Research,2007-12-01,0,2007.9150684931508
PeerJ Preprints,2007-12-01,0,2007.9150684931508
bioRxiv,2007-12-01,0,2007.9150684931508
Winnower,2007-12-01,0,2007.9150684931508
preprints.org,2007-12-01,0,2007.9150684931508
Wellcome Open Research,2007-12-01,0,2007.9150684931508
arXiv q-bio,2008-01-01,69,2008
Nature Precedings,2008-01-01,40,2008
F1000Research,2008-01-01,0,2008
PeerJ Preprints,2008-01-01,0,2008
bioRxiv,2008-01-01,0,2008
Winnower,2008-01-01,0,2008
preprints.org,2008-01-01,0,2008
Wellcome Open Research,2008-01-01,0,2008
arXiv q-bio,2008-02-01,66,2008.0846994535518
Nature Precedings,2008-02-01,33,2008.0846994535518
F1000Research,2008-02-01,0,2008.0846994535518
PeerJ Preprints,2008-02-01,0,2008.0846994535518
bioRxiv,2008-02-01,0,2008.0846994535518
Winnower,2008-02-01,0,2008.0846994535518
preprints.org,2008-02-01,0,2008.0846994535518
Wellcome Open Research,2008-02-01,0,2008.0846994535518
arXiv q-bio,2008-03-01,56,2008.1639344262296
Nature Precedings,2008-03-01,40,2008.1639344262296
F1000Research,2008-03-01,0,2008.1639344262296
PeerJ Preprints,2008-03-01,0,2008.1639344262296
bioRxiv,2008-03-01,0,2008.1639344262296
Winnower,2008-03-01,0,2008.1639344262296
preprints.org,2008-03-01,0,2008.1639344262296
Wellcome Open Research,2008-03-01,0,2008.1639344262296
arXiv q-bio,2008-04-01,56,2008.2486338797814
Nature Precedings,2008-04-01,47,2008.2486338797814
F1000Research,2008-04-01,0,2008.2486338797814
PeerJ Preprints,2008-04-01,0,2008.2486338797814
bioRxiv,2008-04-01,0,2008.2486338797814
Winnower,2008-04-01,0,2008.2486338797814
preprints.org,2008-04-01,0,2008.2486338797814
Wellcome Open Research,2008-04-01,0,2008.2486338797814
arXiv q-bio,2008-05-01,49,2008.3306010928961
Nature Precedings,2008-05-01,39,2008.3306010928961
F1000Research,2008-05-01,0,2008.3306010928961
PeerJ Preprints,2008-05-01,0,2008.3306010928961
bioRxiv,2008-05-01,0,2008.3306010928961
Winnower,2008-05-01,0,2008.3306010928961
preprints.org,2008-05-01,0,2008.3306010928961
Wellcome Open Research,2008-05-01,0,2008.3306010928961
arXiv q-bio,2008-06-01,76,2008.4153005464482
Nature Precedings,2008-06-01,37,2008.4153005464482
F1000Research,2008-06-01,0,2008.4153005464482
PeerJ Preprints,2008-06-01,0,2008.4153005464482
bioRxiv,2008-06-01,0,2008.4153005464482
Winnower,2008-06-01,0,2008.4153005464482
preprints.org,2008-06-01,0,2008.4153005464482
Wellcome Open Research,2008-06-01,0,2008.4153005464482
arXiv q-bio,2008-07-01,91,2008.4972677595629
Nature Precedings,2008-07-01,66,2008.4972677595629
F1000Research,2008-07-01,0,2008.4972677595629
PeerJ Preprints,2008-07-01,0,2008.4972677595629
bioRxiv,2008-07-01,0,2008.4972677595629
Winnower,2008-07-01,0,2008.4972677595629
preprints.org,2008-07-01,0,2008.4972677595629
Wellcome Open Research,2008-07-01,0,2008.4972677595629
arXiv q-bio,2008-08-01,60,2008.5819672131147
Nature Precedings,2008-08-01,45,2008.5819672131147
F1000Research,2008-08-01,0,2008.5819672131147
PeerJ Preprints,2008-08-01,0,2008.5819672131147
bioRxiv,2008-08-01,0,2008.5819672131147
Winnower,2008-08-01,0,2008.5819672131147
preprints.org,2008-08-01,0,2008.5819672131147
Wellcome Open Research,2008-08-01,0,2008.5819672131147
arXiv q-bio,2008-09-01,65,2008.6666666666667
Nature Precedings,2008-09-01,46,2008.6666666666667
F1000Research,2008-09-01,0,2008.6666666666667
PeerJ Preprints,2008-09-01,0,2008.6666666666667
bioRxiv,2008-09-01,0,2008.6666666666667
Winnower,2008-09-01,0,2008.6666666666667
preprints.org,2008-09-01,0,2008.6666666666667
Wellcome Open Research,2008-09-01,0,2008.6666666666667
arXiv q-bio,2008-10-01,77,2008.7486338797814
Nature Precedings,2008-10-01,38,2008.7486338797814
F1000Research,2008-10-01,0,2008.7486338797814
PeerJ Preprints,2008-10-01,0,2008.7486338797814
bioRxiv,2008-10-01,0,2008.7486338797814
Winnower,2008-10-01,0,2008.7486338797814
preprints.org,2008-10-01,0,2008.7486338797814
Wellcome Open Research,2008-10-01,0,2008.7486338797814
arXiv q-bio,2008-11-01,85,2008.8333333333333
Nature Precedings,2008-11-01,43,2008.8333333333333
F1000Research,2008-11-01,0,2008.8333333333333
PeerJ Preprints,2008-11-01,0,2008.8333333333333
bioRxiv,2008-11-01,0,2008.8333333333333
Winnower,2008-11-01,0,2008.8333333333333
preprints.org,2008-11-01,0,2008.8333333333333
Wellcome Open Research,2008-11-01,0,2008.8333333333333
arXiv q-bio,2008-12-01,81,2008.9153005464482
Nature Precedings,2008-12-01,44,2008.9153005464482
F1000Research,2008-12-01,0,2008.9153005464482
PeerJ Preprints,2008-12-01,0,2008.9153005464482
bioRxiv,2008-12-01,0,2008.9153005464482
Winnower,2008-12-01,0,2008.9153005464482
preprints.org,2008-12-01,0,2008.9153005464482
Wellcome Open Research,2008-12-01,0,2008.9153005464482
arXiv q-bio,2009-01-01,92,2009
Nature Precedings,2009-01-01,32,2009
F1000Research,2009-01-01,0,2009
PeerJ Preprints,2009-01-01,0,2009
bioRxiv,2009-01-01,0,2009
Winnower,2009-01-01,0,2009
preprints.org,2009-01-01,0,2009
Wellcome Open Research,2009-01-01,0,2009
arXiv q-bio,2009-02-01,74,2009.0849315068492
Nature Precedings,2009-02-01,25,2009.0849315068492
F1000Research,2009-02-01,0,2009.0849315068492
PeerJ Preprints,2009-02-01,0,2009.0849315068492
bioRxiv,2009-02-01,0,2009.0849315068492
Winnower,2009-02-01,0,2009.0849315068492
preprints.org,2009-02-01,0,2009.0849315068492
Wellcome Open Research,2009-02-01,0,2009.0849315068492
arXiv q-bio,2009-03-01,73,2009.1616438356164
Nature Precedings,2009-03-01,46,2009.1616438356164
F1000Research,2009-03-01,0,2009.1616438356164
PeerJ Preprints,2009-03-01,0,2009.1616438356164
bioRxiv,2009-03-01,0,2009.1616438356164
Winnower,2009-03-01,0,2009.1616438356164
preprints.org,2009-03-01,0,2009.1616438356164
Wellcome Open Research,2009-03-01,0,2009.1616438356164
arXiv q-bio,2009-04-01,89,2009.2465753424658
Nature Precedings,2009-04-01,51,2009.2465753424658
F1000Research,2009-04-01,0,2009.2465753424658
PeerJ Preprints,2009-04-01,0,2009.2465753424658
bioRxiv,2009-04-01,0,2009.2465753424658
Winnower,2009-04-01,0,2009.2465753424658
preprints.org,2009-04-01,0,2009.2465753424658
Wellcome Open Research,2009-04-01,0,2009.2465753424658
arXiv q-bio,2009-05-01,85,2009.3287671232877
Nature Precedings,2009-05-01,28,2009.3287671232877
F1000Research,2009-05-01,0,2009.3287671232877
PeerJ Preprints,2009-05-01,0,2009.3287671232877
bioRxiv,2009-05-01,0,2009.3287671232877
Winnower,2009-05-01,0,2009.3287671232877
preprints.org,2009-05-01,0,2009.3287671232877
Wellcome Open Research,2009-05-01,0,2009.3287671232877
arXiv q-bio,2009-06-01,83,2009.4136986301369
Nature Precedings,2009-06-01,39,2009.4136986301369
F1000Research,2009-06-01,0,2009.4136986301369
PeerJ Preprints,2009-06-01,0,2009.4136986301369
bioRxiv,2009-06-01,0,2009.4136986301369
Winnower,2009-06-01,0,2009.4136986301369
preprints.org,2009-06-01,0,2009.4136986301369
Wellcome Open Research,2009-06-01,0,2009.4136986301369
arXiv q-bio,2009-07-01,80,2009.495890410959
Nature Precedings,2009-07-01,54,2009.495890410959
F1000Research,2009-07-01,0,2009.495890410959
PeerJ Preprints,2009-07-01,0,2009.495890410959
bioRxiv,2009-07-01,0,2009.495890410959
Winnower,2009-07-01,0,2009.495890410959
preprints.org,2009-07-01,0,2009.495890410959
Wellcome Open Research,2009-07-01,0,2009.495890410959
arXiv q-bio,2009-08-01,71,2009.5808219178082
Nature Precedings,2009-08-01,40,2009.5808219178082
F1000Research,2009-08-01,0,2009.5808219178082
PeerJ Preprints,2009-08-01,0,2009.5808219178082
bioRxiv,2009-08-01,0,2009.5808219178082
Winnower,2009-08-01,0,2009.5808219178082
preprints.org,2009-08-01,0,2009.5808219178082
Wellcome Open Research,2009-08-01,0,2009.5808219178082
arXiv q-bio,2009-09-01,75,2009.6657534246576
Nature Precedings,2009-09-01,43,2009.6657534246576
F1000Research,2009-09-01,0,2009.6657534246576
PeerJ Preprints,2009-09-01,0,2009.6657534246576
bioRxiv,2009-09-01,0,2009.6657534246576
Winnower,2009-09-01,0,2009.6657534246576
preprints.org,2009-09-01,0,2009.6657534246576
Wellcome Open Research,2009-09-01,0,2009.6657534246576
arXiv q-bio,2009-10-01,86,2009.7479452054795
Nature Precedings,2009-10-01,44,2009.7479452054795
F1000Research,2009-10-01,0,2009.7479452054795
PeerJ Preprints,2009-10-01,0,2009.7479452054795
bioRxiv,2009-10-01,0,2009.7479452054795
Winnower,2009-10-01,0,2009.7479452054795
preprints.org,2009-10-01,0,2009.7479452054795
Wellcome Open Research,2009-10-01,0,2009.7479452054795
arXiv q-bio,2009-11-01,80,2009.8328767123287
Nature Precedings,2009-11-01,30,2009.8328767123287
F1000Research,2009-11-01,0,2009.8328767123287
PeerJ Preprints,2009-11-01,0,2009.8328767123287
bioRxiv,2009-11-01,0,2009.8328767123287
Winnower,2009-11-01,0,2009.8328767123287
preprints.org,2009-11-01,0,2009.8328767123287
Wellcome Open Research,2009-11-01,0,2009.8328767123287
arXiv q-bio,2009-12-01,93,2009.9150684931508
Nature Precedings,2009-12-01,18,2009.9150684931508
F1000Research,2009-12-01,0,2009.9150684931508
PeerJ Preprints,2009-12-01,0,2009.9150684931508
bioRxiv,2009-12-01,0,2009.9150684931508
Winnower,2009-12-01,0,2009.9150684931508
preprints.org,2009-12-01,0,2009.9150684931508
Wellcome Open Research,2009-12-01,0,2009.9150684931508
arXiv q-bio,2010-01-01,78,2010
Nature Precedings,2010-01-01,32,2010
F1000Research,2010-01-01,0,2010
PeerJ Preprints,2010-01-01,0,2010
bioRxiv,2010-01-01,0,2010
Winnower,2010-01-01,0,2010
preprints.org,2010-01-01,0,2010
Wellcome Open Research,2010-01-01,0,2010
arXiv q-bio,2010-02-01,89,2010.0849315068492
Nature Precedings,2010-02-01,27,2010.0849315068492
F1000Research,2010-02-01,0,2010.0849315068492
PeerJ Preprints,2010-02-01,0,2010.0849315068492
bioRxiv,2010-02-01,0,2010.0849315068492
Winnower,2010-02-01,0,2010.0849315068492
preprints.org,2010-02-01,0,2010.0849315068492
Wellcome Open Research,2010-02-01,0,2010.0849315068492
arXiv q-bio,2010-03-01,112,2010.1616438356164
Nature Precedings,2010-03-01,35,2010.1616438356164
F1000Research,2010-03-01,0,2010.1616438356164
PeerJ Preprints,2010-03-01,0,2010.1616438356164
bioRxiv,2010-03-01,0,2010.1616438356164
Winnower,2010-03-01,0,2010.1616438356164
preprints.org,2010-03-01,0,2010.1616438356164
Wellcome Open Research,2010-03-01,0,2010.1616438356164
arXiv q-bio,2010-04-01,90,2010.2465753424658
Nature Precedings,2010-04-01,34,2010.2465753424658
F1000Research,2010-04-01,0,2010.2465753424658
PeerJ Preprints,2010-04-01,0,2010.2465753424658
bioRxiv,2010-04-01,0,2010.2465753424658
Winnower,2010-04-01,0,2010.2465753424658
preprints.org,2010-04-01,0,2010.2465753424658
Wellcome Open Research,2010-04-01,0,2010.2465753424658
arXiv q-bio,2010-05-01,89,2010.3287671232877
Nature Precedings,2010-05-01,34,2010.3287671232877
F1000Research,2010-05-01,0,2010.3287671232877
PeerJ Preprints,2010-05-01,0,2010.3287671232877
bioRxiv,2010-05-01,0,2010.3287671232877
Winnower,2010-05-01,0,2010.3287671232877
preprints.org,2010-05-01,0,2010.3287671232877
Wellcome Open Research,2010-05-01,0,2010.3287671232877
arXiv q-bio,2010-06-01,99,2010.4136986301369
Nature Precedings,2010-06-01,41,2010.4136986301369
F1000Research,2010-06-01,0,2010.4136986301369
PeerJ Preprints,2010-06-01,0,2010.4136986301369
bioRxiv,2010-06-01,0,2010.4136986301369
Winnower,2010-06-01,0,2010.4136986301369
preprints.org,2010-06-01,0,2010.4136986301369
Wellcome Open Research,2010-06-01,0,2010.4136986301369
arXiv q-bio,2010-07-01,103,2010.495890410959
Nature Precedings,2010-07-01,44,2010.495890410959
F1000Research,2010-07-01,0,2010.495890410959
PeerJ Preprints,2010-07-01,0,2010.495890410959
bioRxiv,2010-07-01,0,2010.495890410959
Winnower,2010-07-01,0,2010.495890410959
preprints.org,2010-07-01,0,2010.495890410959
Wellcome Open Research,2010-07-01,0,2010.495890410959
arXiv q-bio,2010-08-01,90,2010.5808219178082
Nature Precedings,2010-08-01,45,2010.5808219178082
F1000Research,2010-08-01,0,2010.5808219178082
PeerJ Preprints,2010-08-01,0,2010.5808219178082
bioRxiv,2010-08-01,0,2010.5808219178082
Winnower,2010-08-01,0,2010.5808219178082
preprints.org,2010-08-01,0,2010.5808219178082
Wellcome Open Research,2010-08-01,0,2010.5808219178082
arXiv q-bio,2010-09-01,79,2010.6657534246576
Nature Precedings,2010-09-01,47,2010.6657534246576
F1000Research,2010-09-01,0,2010.6657534246576
PeerJ Preprints,2010-09-01,0,2010.6657534246576
bioRxiv,2010-09-01,0,2010.6657534246576
Winnower,2010-09-01,0,2010.6657534246576
preprints.org,2010-09-01,0,2010.6657534246576
Wellcome Open Research,2010-09-01,0,2010.6657534246576
arXiv q-bio,2010-10-01,101,2010.7479452054795
