archive,date,count,date_dec
Nature Precedings,2010-10-01,46,2010.7479452054795
F1000Research,2010-10-01,0,2010.7479452054795
PeerJ Preprints,2010-10-01,0,2010.7479452054795
bioRxiv,2010-10-01,0,2010.7479452054795
Winnower,2010-10-01,0,2010.7479452054795
preprints.org,2010-10-01,0,2010.7479452054795
Wellcome Open Research,2010-10-01,0,2010.7479452054795
arXiv q-bio,2010-11-01,96,2010.8328767123287
Nature Precedings,2010-11-01,43,2010.8328767123287
F1000Research,2010-11-01,0,2010.8328767123287
PeerJ Preprints,2010-11-01,0,2010.8328767123287
bioRxiv,2010-11-01,0,2010.8328767123287
Winnower,2010-11-01,0,2010.8328767123287
preprints.org,2010-11-01,0,2010.8328767123287
Wellcome Open Research,2010-11-01,0,2010.8328767123287
arXiv q-bio,2010-12-01,120,2010.9150684931508
Nature Precedings,2010-12-01,37,2010.9150684931508
F1000Research,2010-12-01,0,2010.9150684931508
PeerJ Preprints,2010-12-01,0,2010.9150684931508
bioRxiv,2010-12-01,0,2010.9150684931508
Winnower,2010-12-01,0,2010.9150684931508
preprints.org,2010-12-01,0,2010.9150684931508
Wellcome Open Research,2010-12-01,0,2010.9150684931508
arXiv q-bio,2011-01-01,106,2011
Nature Precedings,2011-01-01,40,2011
F1000Research,2011-01-01,0,2011
PeerJ Preprints,2011-01-01,0,2011
bioRxiv,2011-01-01,0,2011
Winnower,2011-01-01,0,2011
preprints.org,2011-01-01,0,2011
Wellcome Open Research,2011-01-01,0,2011
arXiv q-bio,2011-02-01,105,2011.0849315068492
Nature Precedings,2011-02-01,40,2011.0849315068492
F1000Research,2011-02-01,0,2011.0849315068492
PeerJ Preprints,2011-02-01,0,2011.0849315068492
bioRxiv,2011-02-01,0,2011.0849315068492
Winnower,2011-02-01,0,2011.0849315068492
preprints.org,2011-02-01,0,2011.0849315068492
Wellcome Open Research,2011-02-01,0,2011.0849315068492
arXiv q-bio,2011-03-01,97,2011.1616438356164
Nature Precedings,2011-03-01,36,2011.1616438356164
F1000Research,2011-03-01,0,2011.1616438356164
PeerJ Preprints,2011-03-01,0,2011.1616438356164
bioRxiv,2011-03-01,0,2011.1616438356164
Winnower,2011-03-01,0,2011.1616438356164
preprints.org,2011-03-01,0,2011.1616438356164
Wellcome Open Research,2011-03-01,0,2011.1616438356164
arXiv q-bio,2011-04-01,106,2011.2465753424658
Nature Precedings,2011-04-01,34,2011.2465753424658
F1000Research,2011-04-01,0,2011.2465753424658
PeerJ Preprints,2011-04-01,0,2011.2465753424658
bioRxiv,2011-04-01,0,2011.2465753424658
Winnower,2011-04-01,0,2011.2465753424658
preprints.org,2011-04-01,0,2011.2465753424658
Wellcome Open Research,2011-04-01,0,2011.2465753424658
arXiv q-bio,2011-05-01,110,2011.3287671232877
Nature Precedings,2011-05-01,18,2011.3287671232877
F1000Research,2011-05-01,0,2011.3287671232877
PeerJ Preprints,2011-05-01,0,2011.3287671232877
bioRxiv,2011-05-01,0,2011.3287671232877
Winnower,2011-05-01,0,2011.3287671232877
preprints.org,2011-05-01,0,2011.3287671232877
Wellcome Open Research,2011-05-01,0,2011.3287671232877
arXiv q-bio,2011-06-01,98,2011.4136986301369
Nature Precedings,2011-06-01,43,2011.4136986301369
F1000Research,2011-06-01,0,2011.4136986301369
PeerJ Preprints,2011-06-01,0,2011.4136986301369
bioRxiv,2011-06-01,0,2011.4136986301369
Winnower,2011-06-01,0,2011.4136986301369
preprints.org,2011-06-01,0,2011.4136986301369
Wellcome Open Research,2011-06-01,0,2011.4136986301369
arXiv q-bio,2011-07-01,101,2011.495890410959
Nature Precedings,2011-07-01,37,2011.495890410959
F1000Research,2011-07-01,0,2011.495890410959
PeerJ Preprints,2011-07-01,0,2011.495890410959
bioRxiv,2011-07-01,0,2011.495890410959
Winnower,2011-07-01,0,2011.495890410959
preprints.org,2011-07-01,0,2011.495890410959
Wellcome Open Research,2011-07-01,0,2011.495890410959
arXiv q-bio,2011-08-01,107,2011.5808219178082
Nature Precedings,2011-08-01,62,2011.5808219178082
F1000Research,2011-08-01,0,2011.5808219178082
PeerJ Preprints,2011-08-01,0,2011.5808219178082
bioRxiv,2011-08-01,0,2011.5808219178082
Winnower,2011-08-01,0,2011.5808219178082
preprints.org,2011-08-01,0,2011.5808219178082
Wellcome Open Research,2011-08-01,0,2011.5808219178082
arXiv q-bio,2011-09-01,123,2011.6657534246576
Nature Precedings,2011-09-01,42,2011.6657534246576
F1000Research,2011-09-01,0,2011.6657534246576
PeerJ Preprints,2011-09-01,0,2011.6657534246576
bioRxiv,2011-09-01,0,2011.6657534246576
Winnower,2011-09-01,0,2011.6657534246576
preprints.org,2011-09-01,0,2011.6657534246576
Wellcome Open Research,2011-09-01,0,2011.6657534246576
arXiv q-bio,2011-10-01,118,2011.7479452054795
Nature Precedings,2011-10-01,38,2011.7479452054795
F1000Research,2011-10-01,0,2011.7479452054795
PeerJ Preprints,2011-10-01,0,2011.7479452054795
bioRxiv,2011-10-01,0,2011.7479452054795
Winnower,2011-10-01,0,2011.7479452054795
preprints.org,2011-10-01,0,2011.7479452054795
Wellcome Open Research,2011-10-01,0,2011.7479452054795
arXiv q-bio,2011-11-01,123,2011.8328767123287
Nature Precedings,2011-11-01,44,2011.8328767123287
F1000Research,2011-11-01,0,2011.8328767123287
PeerJ Preprints,2011-11-01,0,2011.8328767123287
bioRxiv,2011-11-01,0,2011.8328767123287
Winnower,2011-11-01,0,2011.8328767123287
preprints.org,2011-11-01,0,2011.8328767123287
Wellcome Open Research,2011-11-01,0,2011.8328767123287
arXiv q-bio,2011-12-01,139,2011.9150684931508
Nature Precedings,2011-12-01,37,2011.9150684931508
F1000Research,2011-12-01,0,2011.9150684931508
PeerJ Preprints,2011-12-01,0,2011.9150684931508
bioRxiv,2011-12-01,0,2011.9150684931508
Winnower,2011-12-01,0,2011.9150684931508
preprints.org,2011-12-01,0,2011.9150684931508
Wellcome Open Research,2011-12-01,0,2011.9150684931508
arXiv q-bio,2012-01-01,118,2012
Nature Precedings,2012-01-01,46,2012
F1000Research,2012-01-01,0,2012
PeerJ Preprints,2012-01-01,0,2012
bioRxiv,2012-01-01,0,2012
Winnower,2012-01-01,0,2012
preprints.org,2012-01-01,0,2012
Wellcome Open Research,2012-01-01,0,2012
arXiv q-bio,2012-02-01,123,2012.0846994535518
Nature Precedings,2012-02-01,24,2012.0846994535518
F1000Research,2012-02-01,0,2012.0846994535518
PeerJ Preprints,2012-02-01,0,2012.0846994535518
bioRxiv,2012-02-01,0,2012.0846994535518
Winnower,2012-02-01,0,2012.0846994535518
preprints.org,2012-02-01,0,2012.0846994535518
Wellcome Open Research,2012-02-01,0,2012.0846994535518
arXiv q-bio,2012-03-01,122,2012.1639344262296
Nature Precedings,2012-03-01,54,2012.1639344262296
F1000Research,2012-03-01,0,2012.1639344262296
PeerJ Preprints,2012-03-01,0,2012.1639344262296
bioRxiv,2012-03-01,0,2012.1639344262296
Winnower,2012-03-01,0,2012.1639344262296
preprints.org,2012-03-01,0,2012.1639344262296
Wellcome Open Research,2012-03-01,0,2012.1639344262296
arXiv q-bio,2012-04-01,127,2012.2486338797814
Nature Precedings,2012-04-01,50,2012.2486338797814
F1000Research,2012-04-01,0,2012.2486338797814
PeerJ Preprints,2012-04-01,0,2012.2486338797814
bioRxiv,2012-04-01,0,2012.2486338797814
Winnower,2012-04-01,0,2012.2486338797814
preprints.org,2012-04-01,0,2012.2486338797814
Wellcome Open Research,2012-04-01,0,2012.2486338797814
arXiv q-bio,2012-05-01,135,2012.3306010928961
Nature Precedings,2012-05-01,0,2012.3306010928961
F1000Research,2012-05-01,0,2012.3306010928961
PeerJ Preprints,2012-05-01,0,2012.3306010928961
bioRxiv,2012-05-01,0,2012.3306010928961
Winnower,2012-05-01,0,2012.3306010928961
preprints.org,2012-05-01,0,2012.3306010928961
Wellcome Open Research,2012-05-01,0,2012.3306010928961
arXiv q-bio,2012-06-01,148,2012.4153005464482
Nature Precedings,2012-06-01,0,2012.4153005464482
F1000Research,2012-06-01,0,2012.4153005464482
PeerJ Preprints,2012-06-01,0,2012.4153005464482
bioRxiv,2012-06-01,0,2012.4153005464482
Winnower,2012-06-01,0,2012.4153005464482
preprints.org,2012-06-01,0,2012.4153005464482
Wellcome Open Research,2012-06-01,0,2012.4153005464482
arXiv q-bio,2012-07-01,155,2012.4972677595629
Nature Precedings,2012-07-01,0,2012.4972677595629
F1000Research,2012-07-01,5,2012.4972677595629
PeerJ Preprints,2012-07-01,0,2012.4972677595629
bioRxiv,2012-07-01,0,2012.4972677595629
Winnower,2012-07-01,0,2012.4972677595629
preprints.org,2012-07-01,0,2012.4972677595629
Wellcome Open Research,2012-07-01,0,2012.4972677595629
arXiv q-bio,2012-08-01,143,2012.5819672131147
Nature Precedings,2012-08-01,0,2012.5819672131147
F1000Research,2012-08-01,4,2012.5819672131147
PeerJ Preprints,2012-08-01,0,2012.5819672131147
bioRxiv,2012-08-01,0,2012.5819672131147
Winnower,2012-08-01,0,2012.5819672131147
preprints.org,2012-08-01,0,2012.5819672131147
Wellcome Open Research,2012-08-01,0,2012.5819672131147
arXiv q-bio,2012-09-01,172,2012.6666666666667
Nature Precedings,2012-09-01,0,2012.6666666666667
F1000Research,2012-09-01,7,2012.6666666666667
PeerJ Preprints,2012-09-01,0,2012.6666666666667
bioRxiv,2012-09-01,0,2012.6666666666667
Winnower,2012-09-01,0,2012.6666666666667
preprints.org,2012-09-01,0,2012.6666666666667
Wellcome Open Research,2012-09-01,0,2012.6666666666667
arXiv q-bio,2012-10-01,198,2012.7486338797814
Nature Precedings,2012-10-01,0,2012.7486338797814
F1000Research,2012-10-01,15,2012.7486338797814
PeerJ Preprints,2012-10-01,0,2012.7486338797814
bioRxiv,2012-10-01,0,2012.7486338797814
Winnower,2012-10-01,0,2012.7486338797814
preprints.org,2012-10-01,0,2012.7486338797814
Wellcome Open Research,2012-10-01,0,2012.7486338797814
arXiv q-bio,2012-11-01,151,2012.8333333333333
Nature Precedings,2012-11-01,0,2012.8333333333333
F1000Research,2012-11-01,18,2012.8333333333333
PeerJ Preprints,2012-11-01,0,2012.8333333333333
bioRxiv,2012-11-01,0,2012.8333333333333
Winnower,2012-11-01,0,2012.8333333333333
preprints.org,2012-11-01,0,2012.8333333333333
Wellcome Open Research,2012-11-01,0,2012.8333333333333
arXiv q-bio,2012-12-01,171,2012.9153005464482
Nature Precedings,2012-12-01,0,2012.9153005464482
F1000Research,2012-12-01,14,2012.9153005464482
PeerJ Preprints,2012-12-01,0,2012.9153005464482
bioRxiv,2012-12-01,0,2012.9153005464482
Winnower,2012-12-01,0,2012.9153005464482
preprints.org,2012-12-01,0,2012.9153005464482
Wellcome Open Research,2012-12-01,0,2012.9153005464482
arXiv q-bio,2013-01-01,178,2013
Nature Precedings,2013-01-01,0,2013
F1000Research,2013-01-01,22,2013
PeerJ Preprints,2013-01-01,0,2013
bioRxiv,2013-01-01,0,2013
Winnower,2013-01-01,0,2013
preprints.org,2013-01-01,0,2013
Wellcome Open Research,2013-01-01,0,2013
arXiv q-bio,2013-02-01,161,2013.0849315068492
Nature Precedings,2013-02-01,0,2013.0849315068492
F1000Research,2013-02-01,24,2013.0849315068492
PeerJ Preprints,2013-02-01,0,2013.0849315068492
bioRxiv,2013-02-01,0,2013.0849315068492
Winnower,2013-02-01,0,2013.0849315068492
preprints.org,2013-02-01,0,2013.0849315068492
Wellcome Open Research,2013-02-01,0,2013.0849315068492
arXiv q-bio,2013-03-01,160,2013.1616438356164
Nature Precedings,2013-03-01,0,2013.1616438356164
F1000Research,2013-03-01,24,2013.1616438356164
PeerJ Preprints,2013-03-01,0,2013.1616438356164
bioRxiv,2013-03-01,0,2013.1616438356164
Winnower,2013-03-01,0,2013.1616438356164
preprints.org,2013-03-01,0,2013.1616438356164
Wellcome Open Research,2013-03-01,0,2013.1616438356164
arXiv q-bio,2013-04-01,203,2013.2465753424658
Nature Precedings,2013-04-01,0,2013.2465753424658
F1000Research,2013-04-01,20,2013.2465753424658
PeerJ Preprints,2013-04-01,9,2013.2465753424658
bioRxiv,2013-04-01,0,2013.2465753424658
Winnower,2013-04-01,0,2013.2465753424658
preprints.org,2013-04-01,0,2013.2465753424658
Wellcome Open Research,2013-04-01,0,2013.2465753424658
arXiv q-bio,2013-05-01,200,2013.3287671232877
Nature Precedings,2013-05-01,0,2013.3287671232877
F1000Research,2013-05-01,17,2013.3287671232877
PeerJ Preprints,2013-05-01,11,2013.3287671232877
bioRxiv,2013-05-01,0,2013.3287671232877
Winnower,2013-05-01,0,2013.3287671232877
preprints.org,2013-05-01,0,2013.3287671232877
Wellcome Open Research,2013-05-01,0,2013.3287671232877
arXiv q-bio,2013-06-01,177,2013.4136986301369
Nature Precedings,2013-06-01,0,2013.4136986301369
F1000Research,2013-06-01,9,2013.4136986301369
PeerJ Preprints,2013-06-01,8,2013.4136986301369
bioRxiv,2013-06-01,0,2013.4136986301369
Winnower,2013-06-01,0,2013.4136986301369
preprints.org,2013-06-01,0,2013.4136986301369
Wellcome Open Research,2013-06-01,0,2013.4136986301369
arXiv q-bio,2013-07-01,237,2013.495890410959
Nature Precedings,2013-07-01,0,2013.495890410959
F1000Research,2013-07-01,22,2013.495890410959
PeerJ Preprints,2013-07-01,9,2013.495890410959
bioRxiv,2013-07-01,0,2013.495890410959
Winnower,2013-07-01,0,2013.495890410959
preprints.org,2013-07-01,0,2013.495890410959
Wellcome Open Research,2013-07-01,0,2013.495890410959
arXiv q-bio,2013-08-01,197,2013.5808219178082
Nature Precedings,2013-08-01,0,2013.5808219178082
F1000Research,2013-08-01,14,2013.5808219178082
PeerJ Preprints,2013-08-01,7,2013.5808219178082
bioRxiv,2013-08-01,0,2013.5808219178082
Winnower,2013-08-01,0,2013.5808219178082
preprints.org,2013-08-01,0,2013.5808219178082
Wellcome Open Research,2013-08-01,0,2013.5808219178082
arXiv q-bio,2013-09-01,234,2013.6657534246576
Nature Precedings,2013-09-01,0,2013.6657534246576
F1000Research,2013-09-01,15,2013.6657534246576
PeerJ Preprints,2013-09-01,16,2013.6657534246576
bioRxiv,2013-09-01,0,2013.6657534246576
Winnower,2013-09-01,0,2013.6657534246576
preprints.org,2013-09-01,0,2013.6657534246576
Wellcome Open Research,2013-09-01,0,2013.6657534246576
arXiv q-bio,2013-10-01,214,2013.7479452054795
Nature Precedings,2013-10-01,0,2013.7479452054795
F1000Research,2013-10-01,25,2013.7479452054795
PeerJ Preprints,2013-10-01,14,2013.7479452054795
bioRxiv,2013-10-01,0,2013.7479452054795
Winnower,2013-10-01,0,2013.7479452054795
preprints.org,2013-10-01,0,2013.7479452054795
Wellcome Open Research,2013-10-01,0,2013.7479452054795
arXiv q-bio,2013-11-01,168,2013.8328767123287
Nature Precedings,2013-11-01,0,2013.8328767123287
F1000Research,2013-11-01,26,2013.8328767123287
PeerJ Preprints,2013-11-01,35,2013.8328767123287
bioRxiv,2013-11-01,39,2013.8328767123287
Winnower,2013-11-01,0,2013.8328767123287
preprints.org,2013-11-01,0,2013.8328767123287
Wellcome Open Research,2013-11-01,0,2013.8328767123287
arXiv q-bio,2013-12-01,199,2013.9150684931508
Nature Precedings,2013-12-01,0,2013.9150684931508
F1000Research,2013-12-01,27,2013.9150684931508
PeerJ Preprints,2013-12-01,48,2013.9150684931508
bioRxiv,2013-12-01,38,2013.9150684931508
Winnower,2013-12-01,0,2013.9150684931508
preprints.org,2013-12-01,0,2013.9150684931508
Wellcome Open Research,2013-12-01,0,2013.9150684931508
arXiv q-bio,2014-01-01,136,2014
Nature Precedings,2014-01-01,0,2014
F1000Research,2014-01-01,26,2014
PeerJ Preprints,2014-01-01,40,2014
bioRxiv,2014-01-01,44,2014
Winnower,2014-01-01,0,2014
preprints.org,2014-01-01,0,2014
Wellcome Open Research,2014-01-01,0,2014
arXiv q-bio,2014-02-01,171,2014.0849315068492
Nature Precedings,2014-02-01,0,2014.0849315068492
F1000Research,2014-02-01,29,2014.0849315068492
PeerJ Preprints,2014-02-01,26,2014.0849315068492
bioRxiv,2014-02-01,51,2014.0849315068492
Winnower,2014-02-01,0,2014.0849315068492
preprints.org,2014-02-01,0,2014.0849315068492
Wellcome Open Research,2014-02-01,0,2014.0849315068492
arXiv q-bio,2014-03-01,196,2014.1616438356164
Nature Precedings,2014-03-01,0,2014.1616438356164
F1000Research,2014-03-01,19,2014.1616438356164
PeerJ Preprints,2014-03-01,82,2014.1616438356164
bioRxiv,2014-03-01,44,2014.1616438356164
Winnower,2014-03-01,0,2014.1616438356164
preprints.org,2014-03-01,0,2014.1616438356164
Wellcome Open Research,2014-03-01,0,2014.1616438356164
arXiv q-bio,2014-04-01,193,2014.2465753424658
Nature Precedings,2014-04-01,0,2014.2465753424658
F1000Research,2014-04-01,20,2014.2465753424658
PeerJ Preprints,2014-04-01,35,2014.2465753424658
bioRxiv,2014-04-01,55,2014.2465753424658
Winnower,2014-04-01,0,2014.2465753424658
preprints.org,2014-04-01,0,2014.2465753424658
Wellcome Open Research,2014-04-01,0,2014.2465753424658
arXiv q-bio,2014-05-01,166,2014.3287671232877
Nature Precedings,2014-05-01,0,2014.3287671232877
F1000Research,2014-05-01,22,2014.3287671232877
PeerJ Preprints,2014-05-01,26,2014.3287671232877
bioRxiv,2014-05-01,62,2014.3287671232877
Winnower,2014-05-01,4,2014.3287671232877
preprints.org,2014-05-01,0,2014.3287671232877
Wellcome Open Research,2014-05-01,0,2014.3287671232877
arXiv q-bio,2014-06-01,180,2014.4136986301369
Nature Precedings,2014-06-01,0,2014.4136986301369
F1000Research,2014-06-01,21,2014.4136986301369
PeerJ Preprints,2014-06-01,27,2014.4136986301369
bioRxiv,2014-06-01,75,2014.4136986301369
Winnower,2014-06-01,5,2014.4136986301369
preprints.org,2014-06-01,0,2014.4136986301369
Wellcome Open Research,2014-06-01,0,2014.4136986301369
arXiv q-bio,2014-07-01,227,2014.495890410959
Nature Precedings,2014-07-01,0,2014.495890410959
